@relation PartTreinamento_ConcluidoDesertou

@attribute Sexo numeric
@attribute Idade numeric
@attribute ZonaMoradia_ZONARESIDENCIAL numeric
@attribute ZonaMoradia_ASENTAMIENTOHUMANO numeric
@attribute ZonaMoradia_URBANIZACION numeric
@attribute ZonaMoradia_CASCOURBANO numeric
@attribute ZonaMoradia_PUEBLOJOVEN numeric
@attribute ZonaMoradia_OTROS numeric
@attribute ZonaMoradia_ZONARURAL numeric
@attribute Trabalha numeric
@attribute EstadoCivil_SOLTERO numeric
@attribute EstadoCivil_CASADO numeric
@attribute EstadoCivil_DIVORCIADO numeric
@attribute EstadoCivil_DESCONOCIDO numeric
@attribute EstadoCivil_SEPARADO numeric
@attribute EstadoCivil_CONVIVIENTE numeric
@attribute EstadoCivil_VIUDO numeric
@attribute Escola numeric
@attribute Religiao_CRISTIANOCATOLICO numeric
@attribute Religiao_OTRARELIGION numeric
@attribute Religiao_CRISTIANOEVANGELICO numeric
@attribute Religiao_AGNOSTICO numeric
@attribute CursoGraduacao numeric
@attribute Modalidade numeric
@attribute PeriodoIngreso numeric
@attribute NotaExameAdmissao numeric
@attribute TotalNiveisCurso numeric
@attribute TotalCreditosCurso numeric
@attribute TotalNiveisCursados numeric
@attribute PorcentagemNC numeric
@attribute TotalCreditosCursados numeric
@attribute PorcentagemCC numeric
@attribute PeriodoUltimaMatricula numeric
@attribute UltimoNivelEstudado numeric
@attribute PromedioUltimoPeriodo numeric
@attribute Class {CONCLUIDO,DESERTOU}

@data
1,0.20339,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.060606,0,0.002222,0.22,0,0,0.916667,0.917808,0.971774,0.971785,0.78,0.272727,0,CONCLUIDO
1,0.220339,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.060606,0,0,0.14,0,0,0.916667,0.917808,1,1,0.78,0.272727,0,CONCLUIDO
1,0.271186,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.242424,0,0.112222,0.17,0,0,0.583333,0.589041,0.709677,0.709789,0.778889,0.090909,0,CONCLUIDO
0,0.220339,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.030303,0,0,0,0,0.25,0.833333,0.835616,0.862903,0.821497,0.556667,0.818182,0,CONCLUIDO
0,0.237288,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.181818,0,0.111111,0.18,0,0,0.75,0.753425,0.927419,0.927447,0.444444,0.818182,0.654296,CONCLUIDO
0,0.254237,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.30303,1,0.002222,0.16,0,0,0.833333,0.835616,0.96371,0.963724,0.557778,0,0.635486,CONCLUIDO
0,0.40678,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.272727,0,0.111111,0.14,0,0.25,0.833333,0.835616,0.879032,0.836852,0.557778,0.727273,0.581596,CONCLUIDO
0,0.237288,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.030303,0,0.002222,0.15,0,0.25,0.916667,0.917808,0.943548,0.898273,0.668889,0.090909,0,CONCLUIDO
1,0.237288,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.060606,0,0.113333,0,0,0,0.666667,0.671233,0.875,0.875048,0.445556,0.818182,0.674631,DESERTOU
1,0.237288,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.30303,0,0.113333,0,0,0,0.666667,0.671233,0.875,0.875048,0.445556,0.818182,0.674631,CONCLUIDO
